verifier,vars,polys,trials,accepts,elapsed_ms,avg_ms
pcp,1,1,3,3,4,1
pcp,2,1,3,3,9,3
pcp,3,1,3,3,14,4
pcp,4,1,3,3,23,7
pcp,5,1,3,3,33,11
pcp,6,1,3,3,46,15
pcp,7,1,3,3,62,20
pcp,8,1,3,3,96,32
pcp,9,1,3,3,125,41
pcp,10,1,3,3,162,54
pcp,11,1,3,3,197,65
pcp,12,1,3,3,244,81
pcp,13,1,3,3,308,102
pcp,14,1,3,3,327,109
pcp,15,1,3,3,375,125
pcp,16,1,3,3,416,138
pcp,17,1,3,3,469,156
pcp,18,1,3,3,588,196
pcp,19,1,3,3,614,204
pcp,20,1,3,3,671,223
pcp,21,1,3,3,782,260
pcp,22,1,3,3,850,283
pcp,23,1,3,3,973,324
pcp,24,1,3,3,1021,340
trivial,1,1,3,0,0,0
trivial,2,1,3,0,0,0
trivial,3,1,3,0,0,0
trivial,4,1,3,0,0,0
trivial,5,1,3,0,0,0
trivial,6,1,3,0,0,0
trivial,7,1,3,0,0,0
trivial,8,1,3,0,0,0
trivial,9,1,3,0,1,0
trivial,10,1,3,0,2,0
trivial,11,1,3,0,4,1
trivial,12,1,3,0,9,3
trivial,13,1,3,0,21,7
trivial,14,1,3,0,47,15
trivial,15,1,3,0,107,35
trivial,16,1,3,0,241,80
trivial,17,1,3,0,574,191
trivial,18,1,3,0,1240,413
trivial,19,1,3,0,2724,908
trivial,20,1,3,0,6069,2023
trivial,21,1,3,0,13105,4368
trivial,22,1,3,0,28367,9455
trivial,23,1,3,0,63846,21282
trivial,24,1,3,0,139219,46406
